199209280007,1992,9,28,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",0,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,"","Residence, Dr. Hermes Rafel Saguier",158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199211130009,1992,11,13,"",0,"",158,3,South America,Alto Parana,Ciudad del este,-25.51671,-54.616859,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,ABC color newspaper,residence of a correspondent,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,5,Firearms,4,Rifle/Shotgun (non-automatic),"","","","","","","","",Automatic firearm; Shotgun,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199410100002,1994,10,10,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",3,Police,25,Police Security Forces/Officers,National Anti-Narcotics Secretariat (Senad),Senad Exec. Secretary BGen Ramon Rosa Rodriguez,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistol,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199410100003,1994,10,10,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",3,Police,25,Police Security Forces/Officers,National Anti-Narcotics Secretariat (Senad),Senad Exec. Secretary BGen Ramon Rosa Rodriguez,158,Paraguay,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,4,Rifle/Shotgun (non-automatic),"","","","","","","","","","","","",Shotgun,0,"","",2,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199509070012,1995,9,7,"",0,"",158,3,South America,Central,Villa Elisa,-25.376467,-57.600685,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",19,Transportation,104,Highway/Road/Toll/Traffic Signal,Government,Highway Numgber 3,158,Paraguay,"","","","","","","","","","","","","","","","",Peasant Squatters,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,0,"","",15,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199509250001,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapan Transportation Company,bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","","",0,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199509250002,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250002, 199509250003, 199509250004, 199509250005, 199509250006, 199509250007, 199509250008, 199509250009, 199509250010, 199509250011"
199509250003,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250003, 199509250002, 199509250004, 199509250005, 199509250006, 199509250007, 199509250008, 199509250009, 199509250010, 199509250011"
199509250004,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250004, 199509250002, 199509250003, 199509250005, 199509250006, 199509250007, 199509250008, 199509250009, 199509250010, 199509250011"
199509250005,1995,9,25,"",0,"",158,3,South America,Asuncion,Asuncion,-25.282773,-57.63561,1,0,"","",1,1,1,0,"","",1,1,0,8,Unarmed Assault,"","","","",19,Transportation,99,Bus (excluding tourists),Cetrapam Transportation Company,Bus,158,Paraguay,"","","","","","","","","","","","","","","","",Strikers,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Stones,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199509250005, 199509250002, 199509250003, 199509250004, 199509250006, 199509250007, 199509250008, 199509250009, 199509250010, 199509250011"
