198109150004,1981,9,15,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,"",Turkish Airlines Office,209,Turkey,"","","","","","","","","","","","","","","","",Armenian Secret Army for the Liberation of Armenia,"","","","","","",1,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",2,"","",1,"","","","Damages: explosion, damaged building (office)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
198507220002,1985,7,22,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",15,Religious Figures/Institutions,86,Place of Worship,"",Copenhagen Synagogue,55,Denmark,"","","","","","","","","","","","","","","","",Hezbollah,Islamic Jihad,"","","","","",0,"","",0,6,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",7,"","",1,"","","","Damages: explosion, broken windows and doors, damaged facility and nearby senior-citizens home (synagogue)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
198507220003,1985,7,22,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,44,Airport,"",quarters of northwest orient airlines,217,United States,"","","","","","","","","","","","","","","","",Hezbollah,Islamic Jihad,"","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,"","",3,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,1,1,""
198509150002,1985,9,15,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,7,Retail/Grocery/Bakery,"",Jewish food store,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,"",12 injured individuals in store of unknown nationality,"","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
198509150003,1985,9,15,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,11,Entertainment/Cultural/Stadium/Casino,"","\"travel agency (\"\"Israel Tours\"\"\"",97,Israel,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
198610290004,1986,10,29,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,"","","",German Facilities,75,Germany,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","Damages: melee, damaged facilities (showroom/library)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
198612150002,1986,12,15,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Soviet Embassy,167,Russia,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,17,Other Explosive Type,"","","","","","","","","","","","",Bomb - homemade,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
198707090002,1987,7,9,"",0,"",55,8,Western Europe,Capital,Glostrup,55.669217,12.402144,1,0,"","",1,1,1,-9,"","",0,0,0,3,Bombing/Explosion,"","","","",1,Business,6,Medical/Pharmaceutical,hospital,regional hospital,55,Denmark,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198710220004,1987,10,22,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,Govt,Parliament Bldg.,55,Denmark,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198812110001,1988,12,11,"",0,"",55,8,Western Europe,Capital,Copenhagen,55.676075,12.568316,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",14,Private Citizens & Property,82,Labor Union Related,"",Jewish Club,55,Denmark,"","","","","","","","","","","","","","","","",Soldiers of Truth,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
