199110270003,1991,10,27,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Newspaper Elima,"Presses, offices, print shop",604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199111120013,1991,11,12,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,2,Restaurant/Bar/Caf�,"",Bar Paulino,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",Grenade,0,"","",17,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199201000003,1992,1,0,"",0,"",604,11,Sub-Saharan Africa,Katanga,Fungurume,-10.617413,26.309511,1,0,"","",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",Govt.,Group of Government Supporters,604,Zaire,"","","","","","","","","","","","","","","","",Supporters Opposition Leader Etienne Tshisekedi,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistol,8,"","",50,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199206050001,1992,6,5,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Gombe,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,Shaba Air,Senior Belgian Natinal Employee,21,Belgium,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistol,1,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199208130012,1992,8,13,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Sacred Union Opposition Coalition,"Residence, Chairman Frederic Kibasa",604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)","","","","","","","","",Automatic firearm; Rocket,1,"","",6,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199211080007,1992,11,8,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Terra Novo Press,Printing Press Facility (Printed opposition newspapers),604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199212200001,1992,12,20,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Movement National Congolais Lumumba,"Residence, Pres Lambert Mende",604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199404070013,1994,4,7,"",0,"",604,11,Sub-Saharan Africa,Kinshasa,Kinshasa,-4.389166,15.33762,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",16,Telecommunication,90,Telephone/Telegraph,Telecel,3 transmitters for Cellular Phone System,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199404280007,1994,4,28,"",0,"",604,11,Sub-Saharan Africa,Bas-Congo,Mbanza Ngungu,-5.25,14.866667,1,0,"","",0,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,75,Village/City/Town/Suburb,Government,Town of Mbanza Ngungu,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,1,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199404280008,1994,4,28,"",0,"",604,11,Sub-Saharan Africa,Bas-Congo,Kimpese,-5.560387,14.437396,1,0,"","",0,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,75,Village/City/Town/Suburb,Government,Town of Kimpese,604,Zaire,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",2,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
