198004220003,1980,4,22,"",0,"",156,2,Central America & Caribbean,Chiriqui,La Concepcion,8.518806,-82.621547,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,3,Bank/Commerce,"",Branch Office National Bank,156,Panama,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198104190001,1981,4,19,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",12,NGO,61,Domestic NGO,"",Federation of Panamanian Students office,156,Panama,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,"","","","","","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198106250007,1981,6,25,"",0,"",156,2,Central America & Caribbean,Guna Yala,Nargana district,9.56902,-78.82482,3,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,8,Hotel/Resort,"",Villa Pidertupo Hotel,217,United States,"","","","","","","","","","","","","","","","",Kuna Indians,"","","","","","",0,"","",0,22,"","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,1,"","",2,"","",1,3,Minor (likely < $1 million),100000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
198107280002,1981,7,28,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,"",Finance and Treasury Building,156,Panama,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","Damages: explosion, damaged restroom (building)",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198111250004,1981,11,25,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,"","","",In front of businessman's (Zotis Taquis) house/building,156,Panama,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
198307120001,1983,7,12,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,2,Restaurant/Bar/Caf�,"","Ancon Inn Bar, Avenue of the Martyrs",156,Panama,"","","","","","","","","","","","","","","","",Revolutionary Front for National Liberation,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","Damages: explosion, destroyed restroom, damaged bar",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198307150001,1983,7,15,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,2,Restaurant/Bar/Caf�,"",Bar (Manchego Bar on 18th street),156,Panama,"","","","","","","","","","","","","","","","",Revolutionary Front for National Liberation,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",1,"","",1,"","","","Damages: explosion, damaged bar",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198307180005,1983,7,18,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",8,Educational Institution,49,School/University/Educational Building,Commerce School at University of Panama,school of national university,156,Panama,"","","","","","","","","","","","","","","","",Revolutionary Front for National Liberation,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198307180006,1983,7,18,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,7,Retail/Grocery/Bakery,Tivoli store in Calidonia,store,156,Panama,"","","","","","","","","","","","","","","","",Revolutionary Front for National Liberation,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
198307190001,1983,7,19,"",0,"",156,2,Central America & Caribbean,Panama,Panama City,8.994269,-79.518792,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,11,Entertainment/Cultural/Stadium/Casino,"",Night Club,156,Panama,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
