199408040004,1994,8,4,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,0,0,4,Hijacking,"","","","",11,Maritime,57,Civilian Maritime,Unk,Havana-Regla Ferry,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",2,"","",0,"","",0,"","","","",1,-99,0,"","","",Cuba,0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199408050002,1994,8,5,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,0,0,4,Hijacking,"","","","",11,Maritime,58,Commercial Maritime,Unk,"\"Tugboat \"\"Dos Rios\"\"\"",51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,21,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,-99,0,"","","",Cuba,0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199408120005,1994,8,12,"",0,"",51,2,Central America & Caribbean,Unknown,Unknown,"","",5,0,"","",1,1,1,0,"","",0,1,0,4,Hijacking,"","","","",11,Maritime,58,Commercial Maritime,Unk,U/I Fishing Vessel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,3,Handgun,9,Melee,23,Knife or Other Sharp Object,"","","","","","","","",Pistol; Knives,0,"","",0,"","",0,"","","","",1,4,0,"","","",Cuba,0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199408230006,1994,8,23,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,1,0,4,Hijacking,"","","","",11,Maritime,57,Civilian Maritime,Unk,Moa Bay Ferry,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,7,"","","","","","","","","","","",9,Melee,23,Knife or Other Sharp Object,8,Incendiary,18,Arson/Fire,"","","","","","","","",Knives; Flares,0,"","",2,"","",0,"","","","",1,100,0,"","","",Cuba,0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199410150004,1994,10,15,"",0,"",51,2,Central America & Caribbean,Villa Clara,Caibarien,22.520556,-79.466944,1,0,"","",1,1,1,0,"","",0,0,0,2,Armed Assault,"","","","",1,Business,12,Construction,Unk,Causeway under construction,51,Cuba,"","","","","","","","","","","","","","","","",National Democratic Party,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Firearm,1,"","",3,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,0,1,""
199612020005,1996,12,2,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Govt,Residence of Consul,185,Spain,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,23,Knife or Other Sharp Object,"","","","","","","","","","","","",Knife,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199704120006,1997,4,12,"",0,"",51,2,Central America & Caribbean,Matanzas,Varadero,23.187726,-81.175976,1,0,"","",1,1,1,-9,"","",0,0,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Unk,U/I hotel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199704120007,1997,4,12,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Melia Cohiba Hotel,Hotel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199704120011,1997,4,12,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,0,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Melia Cohiba Hotel,Hotel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199707120007,1997,7,12,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Capri Hotel,Hotel,51,Cuba,"","","","","","","","","","","","","","","","","Raul Ernesto Cruz Leon, Salvadorian","","","","","","",0,"","",0,1,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",3,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199707120008,1997,7,12,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",1,1,0,8,Unarmed Assault,"","","","",1,Business,8,Hotel/Resort,October 10th Hospital,Hospital,51,Cuba,1,Business,6,Medical/Pharmaceutical,Migues Enriquez Hospital,Hospital,51,Cuba,"","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Clubs,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199707120008, 199707120009"
199707120009,1997,7,12,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",1,1,0,8,Unarmed Assault,"","","","",1,Business,8,Hotel/Resort,October 10th Hospital,Hospital,51,Cuba,1,Business,6,Medical/Pharmaceutical,Migues Enriquez Hospital,Hospital,51,Cuba,"","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Clubs,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,"199707120009, 199707120008"
199707120010,1997,7,12,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,National Hotel,Hotel,51,Cuba,"","","","","","","","","","","","","","","","","Raul Ernesto Cruz Leon, Salvadorian","","","","","","",0,"","",0,1,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199707190009,1997,7,19,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",19,Transportation,103,Bridge/Car Tunnel,Govt,Harbor Tunnel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,2,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199708040009,1997,8,4,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Melia Cohiba Hotel,Hotel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199708220007,1997,8,22,"",0,"",51,2,Central America & Caribbean,"",Varadero,23.187726,-81.175976,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Sol Palmeras Hotel,Hote,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199709040005,1997,9,4,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Copacabana Hotel,Hotel,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,1,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199709040007,1997,9,4,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,2,Restaurant/Bar/Caf�,Bodegvita del Medio Restaurant,Restaurant,51,Cuba,1,Business,8,Hotel/Resort,Chateau Hotel,Hotel,51,Cuba,1,Business,8,Hotel/Resort,Triton Hotel,Hotel,51,Cuba,"Raul Ernesto Cruz Leon, Salvadorian","","","","","","",0,"","",0,1,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,1,1,0,1,""
199710040011,1997,10,4,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,44,Airport,Jose Marti Int'l Airport,Airport Terminal,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199710070003,1997,10,7,"",0,"",51,2,Central America & Caribbean,Havana,Havana,23.131944,-82.364167,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,44,Airport,"",Airport Shuttle Bus,51,Cuba,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
