201408280064,2014,8,28,"",0,"",5,9,Eastern Europe,Vlore,Vlore,40.464835,19.487077,1,0,"","08/28/2014: An explosives-laden vehicle detonated in Vlore city, Vlore county, Albania. One person was killed and two others were wounded in the blast. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,15,Vehicle,"","","","","","","","","","","","",A remote-triggered explosive laden SUV was used in the attack.,1,0,0,2,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Car Bomb Kills Businessman in Southern Albanian Town","\"\" BalkanInsight.com",August 28,"2014.\"","","",START Primary Collection,-9,-9
201502100033,2015,2,10,"",0,"",5,9,Eastern Europe,Tirana,Tirana,41.329434,19.822372,1,0,"","02/10/2015: An explosive device detonated at a pharmacy owned by the father of the interior minister in Tirana city, Tirana county, Albania. No casualties were reported. This was one of three explosive devices detonated or defused in Tirana on the same day. No group claimed responsibility for the incident.",0,1,1,1,2,Other Crime Type,1,1,0,3,Bombing/Explosion,"","","","",1,Business,6,Medical/Pharmaceutical,Unknown,Pharmacy,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A pharmacy and surrounding buildings were damaged in this attack.,0,"","","","","","","","","","","","","","","","There is doubt that this incident meets terrorism-related criteria, given that the attack may have been perpetrated to intimidate an anti-crime politician's family.","\"\"\"1st LD Writethru: Three explosions shock Tirana","\"\" Xinhua General News Service",February 10,"2015.\"","\"\"\"Bomb blasts rock Albania's capital","\"\" Deutsche Welle",February 10,"2015.\"","\"\"\"Prime Minister Rama Voices Outrage Over 'Terrorist' Bomb Explosions in Albanian Capital"
201502100034,2015,2,10,"",0,"",5,9,Eastern Europe,Tirana,Tirana,41.330143,19.816604,1,0,"","02/10/2015: An explosive device detonated at the apartment of a former police chief in Tirana city, Tirana county, Albania. No casualties were reported. This was one of three explosive devices detonated or defused in Tirana on the same day. No group claimed responsibility for the incident.",0,1,1,1,2,Other Crime Type,1,0,0,1,Assassination,"","","","",3,Police,25,Police Security Forces/Officers,Albanian State Police,House of Director of Serious Crimes,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An apartment building was damaged in this attack.,0,"","","","","","","","","","","","","","","","There is doubt that this incident meets terrorism-related criteria, given that the attack may have been perpetrated to intimidate an anti-crime politician's family.","\"\"\"1st LD Writethru: Three explosions shock Tirana","\"\" Xinhua General News Service",February 10,"2015.\"","\"\"\"Bomb blasts rock Albania's capital","\"\" Deutsche Welle",February 10,"2015.\"","\"\"\"Prime Minister Rama Voices Outrage Over 'Terrorist' Bomb Explosions in Albanian Capital"
201502100035,2015,2,10,"",0,"",5,9,Eastern Europe,Tirana,Tirana,41.330541,19.821241,1,0,"","02/10/2015: Security forces discovered and defused an explosive device planted at a bus station in Tirana city, Tirana county, Albania. This was one of three explosive devices detonated or defused in Tirana on the same day. No group claimed responsibility for the incident.",0,1,1,1,2,Other Crime Type,1,0,0,3,Bombing/Explosion,"","","","",19,Transportation,101,Bus Station/Stop,Unknown,Bus Station,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","There is doubt that this incident meets terrorism-related criteria, given that the attack may have been perpetrated to intimidate an anti-crime politician's family.","\"\"\"1st LD Writethru: Three explosions shock Tirana","\"\" Xinhua General News Service",February 10,"2015.\"","\"\"\"Bomb blasts rock Albania's capital","\"\" Deutsche Welle",February 10,"2015.\"","\"\"\"Prime Minister Rama Voices Outrage Over 'Terrorist' Bomb Explosions in Albanian Capital"
201502120047,2015,2,12,"",0,"",5,9,Eastern Europe,Tirana,Tirana,41.326618,19.820873,1,0,"","02/12/2015: Security forces discovered and defused an explosive device planted near a school in Tirana city, Tirana county, Albania. No group claimed responsibility for the incident.",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",20,Unknown,"","",Unknown,Unknown,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,28,Dynamite/TNT,"","","","","","","","","","","","",A one-kilogram bomb made with dynamite was used in the attack.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Fourth   bomb discovered   in Albanian capital","\"\" Intellinews - Albania Today",February 13,"2015.\"","","",START Primary Collection,-9,-9
201605250048,2016,5,25,"",0,"",5,9,Eastern Europe,Shkoder,Gjegjan,41.940549,20.006499,1,0,"","05/25/2016: Assailants detonated an explosive device at a hydroelectric plant in Gjegjan, Shkoder, Albania. There were no reported casualties in the blast. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",21,Utilities,107,Electricity,Unknown,Hydroelectric Plant,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The specific motive is unknown; however, sources posited that the attack was related to the absence of water for residents.",0,"","",0,2,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,2,Major (likely >= $1 million but < $1 billion),3300000,A hydro power plant was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Deliberate blast at Gjegjan HPP in Albania causes 3 mln euro damages - report","\"\" See News",May 25,"2016.\"","","",START Primary Collection,-9,-9
201608170042,2016,8,17,"",0,"",5,9,Eastern Europe,Vlore,Vlore,40.464987,19.484994,1,0,"","\"08/17/2016: An assailant attempted to abduct three civilians in Vlore, Albania. Police forces arrested the assailant before he could successfully carry out the attack. No group claimed responsibility for the incident; however sources identified the assailant as Dijar Xhema and noted that Xhema yelled, \"\"I am the emissary of Allah\"\" during the attack.\"",1,1,1,0,"","",0,0,0,6,Hostage Taking (Kidnapping),"","","","",14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,5,Albania,"","","","","","","","","","","","","","","","",Muslim extremists,"","","","","","\"The specific motive is unknown; however, sources noted that Dijar Xhema yelled, \"\"I am the emissary of Allah\"\" during the attack.\"",1,"","",1,1,1,0,"","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Albanian Police Arrest 'Terror Attack' Suspect","\"\" BalkanInsight Online",August 18,"2016.\"","\"\"\"Kosovo Albanian terror suspect arrested in Tirana","\"\" B92",August 18,"2016.\"","\"\"\"TWO WORDS THAT ARE LOST IN TRANSLATION"
201710110028,2017,10,11,"",0,"",5,9,Eastern Europe,Shkoder,Shkoder,42.069084,19.503374,1,0,"","10/11/2017: An explosive device attached to the vehicle of Frida Kopliku, a Regional Education Directorate employee, detonated in Shkoder, Albania. There were no reported casualties in the blast. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)","Albanian Ministry of Education, Sports, and Youth",Vehicle of Regional Education Directorate Inspector: Frida Kopliku,5,Albania,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,29,Sticky Bomb,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,-99,A vehicle and materials were damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Shkodra",Education Office Inspector Vehicle Blown Up,"\"\" Albanian Daily News",October 11,"2017.\"","","",START Primary Collection,-9
