201101260019,2011,1,26,"",0,"",199,8,Western Europe,Saint Gallen,St. Gall,47.4241,9.37088,1,0,"The attack took place in St. Gall city, St. Gall, Switzerland.","01/26/2011: On Wednesday, in St. Gall city, St. Gall, Switzerland, suspected left-wing extremists planted an improvised explosive device, but it was found and safely defused by security forces after an internet statement by a group calling itself Revolutionary Perspective warned of an attack. No casualties or damages were reported and no group claimed responsibility.",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,"",Civilians,199,Switzerland,"","","","","","","","","","","","","","","","",Unknown,"","","","","",The specific motive for the attack is unknown.,0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,17,Other Explosive Type,"","","","","","","","","","","","",An improvised explosive device was used in the attack.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"Jane's Intelligence, \"\"Security Forces Make Safe IED in Switzerland's Sankt Gallen","\"\" Terrorism Watch Report",Reuters,January 27,"2011.\"","\"Philippa Fletcher, \"\"UPDATE UPDATE One- Minor Explosion in Davos Hotel",Nobody Hurt,"\"\" Reuters",January 27
201101270002,2011,1,27,"",0,"",199,8,Western Europe,Graubunden,Davos,46.80012,9.83089,1,0,"","01/27/2011: On Thursday morning around 0900, in Davos, Graub�nden, Switzerland, an explosion rocked a hotel in close proximity to the venue of the World Economic Forum. The blast happened in a storage room of the Posthotel Morosani and shattered two windowpanes of the building. No casualties were reported and a group calling itself Revolutionary Perspective claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,Posthotel Morosani,The Posthotel Morosani hotel,199,Switzerland,"","","","","","","","","","","","","","","","",Revolutionary Perspective,"","","","","",The specific motive for the attack is unknown.,0,"","",0,-99,0,1,10,Unknown,"","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Unknown explosives were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"",The attack shattered two windows on the hotel.,0,"","","","","","","","","","","","","","","","","\"Press TV, \"\"Blast Rocks Hotel Near Davos Meeting","\"\" http://www.presstv.ir/detail/162228.html (January 27","2011).\"","\"Fang Yang, \"\"Small Blast Happens at Hotel Near Davos Annual Meeting",But No Injuries,Police,"\"\" Xinhua News Agency",January 27,2011
201103310006,2011,3,31,"",0,"",199,8,Western Europe,Solothurn,Olten,47.349794,7.919812,1,0,"The attack took place in Olten, Solothurn.","03/31/2011: On Thursday morning at 0745, in Olten, Solothurn, Switzerland, a letter bomb detonated at the office of Swissnuclear. The device detonated as a female employee was handling the parcel on the fourth floor. Two people were injured and it is unknown if the attack caused any property damage. No group claimed responsibility for the attack, although the Informal Anarchist Federation was thought to be responsible.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,5,Industrial/Textiles/Factory,Swissnuclear,The office of Swissnuclear was targeted in the attack.,199,Switzerland,"","","","","","","","","","","","","","","","",Informal Anarchist Federation,"","","","","",The specific motive for the attack is unknown.,1,"","",0,-99,0,1,10,Unknown,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",A letter bomb was used in the attack.,0,0,0,2,0,0,-9,"","","",It is unknown if the attack caused any property damage.,0,"","","","","","","","","","","","","","","","","\"Gaia Pianigiani, \"\"Three Mail Bombs Explode in Europe",Injuring Three,"\"\" New York Times",March 31,2011,"http://www.nytimes.com/2011/04/01/world/europe/01italy.html?_r=1&ref=europe.\"","\"Xinhua News Agency, \"\"Two Injured in Mail Bomb Blast in Switzerland","\"\" Xinhua News Agency",March 31
201301240013,2013,1,24,"",0,"",199,8,Western Europe,Zurich,Hottingen,47.368115,8.5604,1,0,The incident occurred  in the Hottingen area of the city.,"01/24/2013: An explosive device detonated near a Credit Suisse bank branch in Hottingen quarter, District 7, Zurich city, Zurich canton, Switzerland. No one was injured in the attack; however, the bomb broke a window and caused monetary damage. This was one of two attacks in protest of the World Economic Forum (WEF) in Switzerland on January 24th. An unnamed group of activists claimed responsibility, saying the bank was targeted because it supported the WEF summit in Davos, Switzerland.",1,1,1,0,"","",1,1,0,3,Bombing/Explosion,"","","","",1,Business,3,Bank/Commerce,Credit Suisse Group AG,Bank Branch,199,Switzerland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","In a statement posted online, an unknown group claimed responsibility for the bombing and stated that the Credit Suisse Bank was targeted due to its support for the World Economic Forum (WEF) that was being held in Davos, Switzerland.  Activists also cited a rise in unemployment, food price speculations, and actions against the Greek people as motivations behind the attack.",0,"","",0,-99,0,1,7,"Posted to website, blog, etc.","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),2100,A bank security window was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Twin blasts in Zurich rattle WEF summit","\"\" Daily News South Africa",January 28,"2013.\"","\"\"\"Anti-Davos Activists Bomb Glencore Boss Ivan Glasenberg's Swiss Home","\"\" International Business Times UK",January 25,"2013.\"","\"\"\"2nd UPDATE: Police Investigate Blast Outside Glencore CEO's House"
201301240014,2013,1,24,"",0,"",199,8,Western Europe,Zurich,Rueschlikon,47.306979,8.555269,1,0,Located In Horgen District,"01/24/2013: A bomb exploded in the mailbox of Ivan Glasenberg in Rueschlikon, Horgen district, Zurich canton, Switzerland. Glasenberg was the chief executive for Glencore, a commodity trading company that was taking part in the World Economic Forum (WEF) summit in Davos. No one was injured in the blast. This was one of two incidents targeting the WEF in Switzerland on January 24th. An unnamed group of activists claimed responsibility for this attack, criticizing the workplace conditions of Glencore.",1,1,1,0,"","",1,1,0,3,Bombing/Explosion,"","","","",1,Business,4,Multinational Corporation,Glencore Xstrata,Chief Executive Officer: Ivan Glasenberg,999,Multinational,"","","","","","","","","","","","","","","","",Unknown,"","","","","","In a statement posted online, an unknown claimed responsibility for the bombing and stated that Ivan Glasenberg, the head of the commodities trading company Glencore, was targeted in protest of the World Economic Forum (WEF) that was being held in Davos, Switzerland.  Activists also cited poor working conditions at Glencore as a motivation behind the attack.",0,"","",0,-99,0,1,7,"Posted to website, blog, etc.","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A mailbox was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Twin blasts in Zurich rattle WEF summit","\"\" Daily News South Africa",January 28,"2013.\"","\"\"\"Anti-Davos Activists Bomb Glencore Boss Ivan Glasenberg's Swiss Home","\"\" International Business Times UK",January 25,"2013.\"","\"\"\"2nd UPDATE: Police Investigate Blast Outside Glencore CEO's House"
