201410220073,2014,10,22,"",0,"",222,3,South America,Capital,Caracas,10.482834,-66.962128,1,0,"","10/22/2014: Assailants detonated incendiary devices at a Communist Party of Venezuela office in Caracas city, Capital, Venezuela. There were no reports of casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,Communist Youth of Venezuela (JCV),National Headquarters,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The specific motive is unknown; however, the Communist Party stated that the attack was meant to intimidate and demoralize the people's revolutionary movement.",0,"","",0,-99,0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A building was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"PCV headquarters in Artigas set fire","\"\" Globovision",October 22,"2014.\"","\"\"\"Venezuelan Communist Youth Group Attacked",Right Wingers Blamed,"\"\" Venezuelanalysis.com",October 28,"2014.\""
201503270050,2015,3,27,"",0,"",222,3,South America,Monagas,El Tejero,9.640122,-63.670547,1,0,"","03/27/2015: Assailants attacked the Petroleum of Venezuela (PDVSA) plant in El Tejero, Monagas state, Venezuela. There were no reported casualties in the incident. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,1,Gas/Oil/Electric,Petroleum of Venezuela (PDVSA),El Tejero Plant,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An unknown number of supply cables were cut and an unknown number of doors to the facility were damaged.,0,"","","","","","","","","","","","","","","","","\"\"\"PDVSA claims that armed commando group sabotaged facilities in Monagas","\"\" La Patilla (The Pin)",March 29,"2015.\"","\"\"\"Armed Militants Attack Main Government Gas Plant","\"\" Venezuelanalysis.com",April 1,"2015.\"",""
201511250040,2015,11,25,"",0,"",222,3,South America,Guarico,Altagracia de Orituco,9.858081,-66.382067,1,0,"","11/25/2015: Assailants opened fire on Luis Diaz in Altagracia de Orituco town, Guarico state, Venezuela. Diaz, a Democratic Action (AD) party candidate, was killed in the attack. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,Democratic Action (AD),Leader: Luis Diaz,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The specific motive is unknown; however, sources noted that Venezuela was scheduled to hold parliamentary elections in the coming days.",0,"","",0,-99,0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,0,0,0,-9,"","","",It is unknown if any property was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"US condemns killing of opposition member in Venezuela","\"\" Jerusalem Post",November 26,"2015.\"","\"\"\"Unidentified gunmen kill an opposition politician in Venezuela's Gaurico","\"\" Jane's",November 28,"2015.\"","\"\"\"Venezuela politician assassinated as opposition denounces election violence"
201512220037,2015,12,22,"",0,"",222,3,South America,Miranda,Caracas,10.456826,-66.782303,1,0,The incident occurred at the CAF-Latin American Development Bank.,"12/22/2015: An assailant detonated an explosive device near the offices of the Andean Development Corporation (CAF) - Development Bank of Latin America in Caracas, Venezuela. No casualties or injuries were reported, but the bank was damaged in the blast. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",Andean Development Corporation (CAF) - Development Bank of Latin America,Headquarters,422,International,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,17,Other Explosive Type,"","","","","","","","","","","","",A homemade explosive device was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A building and a bank were damaged in this attack.,0,"","","","","","","","","","","","","","","","Casualty numbers for this incident conflict across sources. Following GTD protocol, the most reliable estimates are reported here.","\"\"\"Venezuela: Chacao Police Report 'Terror' Explosive at CAF","\"\" EL UNIVERSAL.com.mx",December 23,"2015.\"","\"\"\"Bomb explodes outside regional development bank building in Caracas","\"\" Fox News Latino",December 22,"2015.\"","\"\"\"Latin American Herald Tribune - Bomb Explodes Outside Regional Development Bank Building in Caracas"
201603240046,2016,3,24,"",0,"",222,3,South America,Tachira,San Isidro,7.924669,-72.444445,1,0,The event occurred in Pedro Maria Urena town.,"03/24/2016: Assailants opened fire on Cesar Eugenio Vera Barajas in San Isidro, Tachira, Venezuela. Barajas, a deputy legislator, was killed in the assault. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Tachira,Deputy Legislator: Cesar Eugenio Vera Barajas,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,2,0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Ruling Party Politician Slain in Venezuela","\"\" Latin American Herald Tribune",March 26,"2016.\"","","",START Primary Collection,-9,-9
201607080009,2016,7,8,"",0,"",222,3,South America,Portuguesa,Guanare,9.032117,-69.725573,1,0,"","07/08/2016: Assailants threw grenades at a police headquarters in Guanare, Portuguesa, Venezuela. Two people, including an assailant and a police officer, were killed and 25 others were injured in the ensuing clash. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",3,Police,22,"Police Building (headquarters, station, school)",Bolivarian National Police (PNB),Headquarters,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,2,0,0,"","","","","","","","","",6,Explosives,7,Grenade,5,Firearms,5,Unknown Gun Type,"","","","","","","","",Two grenades were used in the attack.,2,0,1,25,0,0,1,3,Minor (likely < $1 million),-99,Unspecified property was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Grenade attack on police headquarters in Venezuela kills 2",injures 25,"\"\" Xinhua General News Service",July 8,"2016.\"","\"\"\"Venezuela Security",Military,S&T Update: Maduro Ratifies Padrino Lopez,Changes Others
201608040056,2016,8,4,"",0,"",222,3,South America,Aragua,Maracay,10.24552,-67.603934,1,0,"","08/04/2016: Assailants threw two explosive devices at the Bolivarian National Police (PNB) Alayon Prison in Maracay, Aragua, Venezuela. At least five prisoners were killed and 30 others were injured in the blast. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",3,Police,26,Prison/Jail,Bolivarian National Police (PNB),Alayon Prison,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Two explosive devices were used in the attack.,5,0,0,30,0,0,1,3,Minor (likely < $1 million),-99,A prison was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Venezuela prison blast kills five",wounds 30,"\"\" The Daily Star (Lebanon)",August 4,"2016.\"","\"\"\"Venezuela Prison Blast Kills Five",Wounds 30,"\"\" Enews.Shafaqna.com",August 5
201608240038,2016,8,24,"",0,"",222,3,South America,Trujillo,Valera,9.342022,-70.600387,1,0,"","08/24/2016: Assailants opened fire on a Diario de los Andes office in Valera, Trujillo, Venezuela. There were no reported casualties. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",10,Journalists & Media,56,Other (including online news agencies),Diario de los Andes,Office,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",0,0,0,0,0,0,-9,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Newspaper offices shot at and vandalized in Venezuela","\"\" CPJ Press Freedom",August 31,"2016.\"","","",START Primary Collection,-9,-9
201608300022,2016,8,30,"",0,"",222,3,South America,Capital,Caracas,10.482834,-66.962128,1,0,"","08/30/2016: Assailants threw explosives and excrement at an El National office in Caracas, Venezuela. There were no reported casualties in the attack. Chama Pueblo en Rebelion claimed responsibility for the incident and alleged that the newspaper opposed the government.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,El National,Office,222,Venezuela,"","","","","","","","","","","","","","","","",Chama Pueblo en Rebelion,"","","","","",Chama Pueblo en Rebelion claimed responsibility for the incident and alleged that El National newspaper opposed the government.,0,"","",0,-99,0,1,5,Note left at scene,"","","","","","","",6,Explosives,17,Other Explosive Type,12,Other,"","","","","","","","","","",Homemade explosive devices and excrement were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A newspaper office was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Newspaper offices shot at and vandalized in Venezuela","\"\" CPJ Press Freedom",August 31,"2016.\"","\"\"\"Maduro government arrested another opponent","\"\" El Pais",August 31,"2016.\"","\"\"\"Newspaper offices shot at and vandalized in Venezuela"
201609140031,2016,9,14,2016-09-14 00:00:00,0,"",222,3,South America,Guarico,San Juan de los Morros,9.911389,-67.353611,1,0,"","09/14/2016: Assailants threw a grenade at a prison in San Juan de los Morros, Guarico, Venezuela. One prisoner was killed and 22 people were injured in the blast. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",3,Police,26,Prison/Jail,"Cuerpo de Investigaciones Cientificas, Penales y Criminalisticas (CICPC)",Prison,222,Venezuela,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,222,Venezuela,"","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","","",1,0,0,22,0,0,1,3,Minor (likely < $1 million),-99,A prison was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"One dead",22 hurt in Venezuela prison blast,"\"\" Agence France-Presse Top News (English)",t,September 15,"2016.\"","\"\"\"Philippines: One dead",22 hurt in Venezuela prison blast,"\"\" Manila Bulletin Online"
201701280027,2017,1,29,"",0,"",222,3,South America,Bolivar,Ciudad Guayana,8.302296,-62.714989,1,0,The incident occurred along Centurion Avenue.,"01/29/2017: Assailants threw grenades at a Bolivarian National Police (PNB) garrison on Centurion Avenue in San Felix neighborhood, Ciudad Guayana, Bolivar, Venezuela. There were no reported casualties in the blasts. This was one of two attacks targeting police garrisons in different Ciudad Guayana neighborhoods on the same day. No group claimed responsibility for the incidents.",1,1,1,0,"","",1,1,0,3,Bombing/Explosion,"","","","",3,Police,22,"Police Building (headquarters, station, school)",Bolivarian National Police (PNB),Garrison,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",MK2 and stun grenades were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A police garrison was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"They report that they launched grenade to commission of the PNB in the Valley","\"\" El Nacional",January 29,"2017.\"","\"\"\"Venezuela Security",Military,S&T Update: ELN Guerrillas Resume Radio Broadcasts,"\"\" Summary",January 27
201701280029,2017,1,29,"",0,"",222,3,South America,Bolivar,Ciudad Guayana,8.302296,-62.714989,1,0,The incident occurred in the Chirica neighborhood.,"01/29/2017: Assailants threw grenades at a Bolivarian National Police (PNB) garrison in Chirica neighborhood, Ciudad Guayana, Bolivar, Venezuela. There were no reported casualties in the blasts. This was one of two attacks targeting police garrisons in different Ciudad Guayana neighborhoods on the same day. No group claimed responsibility for the incidents.",1,1,1,0,"","",1,1,0,3,Bombing/Explosion,"","","","",3,Police,22,"Police Building (headquarters, station, school)",Bolivarian National Police (PNB),Garrison,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,7,Grenade,"","","","","","","","","","","","",MK2 and stun grenades were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A police garrison was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"They report that they launched grenade to commission of the PNB in the Valley","\"\" El Nacional",January 29,"2017.\"","\"\"\"Venezuela Security",Military,S&T Update: ELN Guerrillas Resume Radio Broadcasts,"\"\" Summary",January 27
201704080045,2017,4,8,"",0,"",222,3,South America,Capital,Caracas,10.482834,-66.962128,1,0,"","04/08/2017: An explosive device detonated targeting Henrique Capriles at the Justice First Party headquarters in Caracas, Venezuela. Capriles, a Justice First Party leader, was not harmed as there were no reported casualties in the blast. No group claimed responsibility for the attack.",1,1,1,0,"","",0,0,0,1,Assassination,"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,Justice First Party,Leader: Henrique Capriles,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,4,Unknown,-99,A building was damaged in this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Venezuela opposition leader says he was target of bomb attack after march","\"\" EFE",April 9,"2017.\"","","",START Primary Collection,-9,-9
201705100046,2017,5,10,"",0,"",222,3,South America,Capital,Caracas,10.482834,-66.962128,1,0,The incident occurred in Libertador district.,"05/10/2017: Assailants armed with explosive devices, firearms, and incendiary devices attacked the Francisco de Miranda school in Libertador neighborhood, Caracas, Venezuela. There were no reported casualties in the incident. No group claimed responsibility; however, sources attributed the attack to right-wing extremists.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,7,Facility/Infrastructure Attack,"","",8,Educational Institution,49,School/University/Educational Building,Francisco de Miranda school,School,222,Venezuela,"","","","","","","","","","","","","","","","",Right-wing extremists,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,17,Other Explosive Type,5,Firearms,5,Unknown Gun Type,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,"","","","","Homemade explosive devices, firearms, Molotov cocktails, stones, and bottles were used in the attack.",0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A school was damaged during this attack.,0,"","","","","","","","","","","","","","","","","\"\"\"Revealed",Details Of Venezuelan Opposition's Attack On A School,"\"\" Malaysian Digest",May 11,"2017.\"","","",START Primary Collection,-9
201705160055,2017,5,16,"",1,"",222,3,South America,Lara,Barquisimeto,10.067772,-69.347351,1,0,The incident occurred in Iribarren district.,"\"05/16/2017: Assailants abducted Pedro Josue Carrillo, an alleged United Socialist Party (PSUV) member, in Barquisimeto, Lara, Venezuela. Carrillo was tortured and killed, and his body was discovered on May 18, 2017. Neo-fascists claimed responsibility for the incident and stated during the attack, \"\"Grab him because he's a Chavista.\"\"\"",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,United Socialist Party (PSUV),Member: Pedro Josue Carrillo,222,Venezuela,"","","","","","","","","","","","","","","","",Neo-Fascists,"","","","","","\"Neo-Fascists claimed responsibility for the incident and stated \"\"Grab him because he's a Chavista.\"\"\"",0,"","",0,-99,0,1,8,Personal claim,"","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,0,0,0,0,0,0,"","","","",1,1,0,"",2,"","",0,"","","","","",4,Hostage(s) killed (not during rescue attempt),0,"","\"\"\"Relatives of murdered claim that he was not a member of the Psuv","\"\" El Impulso.com",May 20,"2017.\"","\"\"\"Venezuela: �Fascist� thugs blamed for leftwinger�s murder","\"\" Brief Report.co.uk",May 19,"2017.\"","\"\"\"Venezuela: �Fascist� thugs blamed for leftwinger�s murder"
201706280008,2017,6,27,"",0,"",222,3,South America,Capital,Caracas,10.482834,-66.962128,1,0,"","06/27/2017: Assailants in a helicopter attacked the Venezuelan Interior Ministry and Supreme Court with grenades and firearms in Caracas, Capital district, Venezuela. There were no reported casualties. Oscar Alberto Perez, an Equilibrio Nacional member, claimed responsibility for the incident in a video and stated that he intended to overthrow the government.",1,1,1,1,5,State Actors,0,1,0,2,Armed Assault,"","","","",2,Government (General),14,Judge/Attorney/Court,Supreme Tribunal of Justice,Building,222,Venezuela,"","","","","","","","","","","","","","","","",Equilibrio Nacional,"","","","","",Equilibrio Nacional claimed responsibility for the incident in a video and stated that the group intended to overthrow the government.,0,"","",0,1,0,1,6,Video,"","","","","","","",6,Explosives,7,Grenade,5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","",Grenades and assault rifles were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A helicopter was seized in this attack.,0,"","","","","","","","","","","","","","","",There is doubt that this incident meets terrorism-related criteria. Sources suspected that the attack may have been a false flag operation orchestrated by the Venezuelan government or the United States Central Intelligence Agency. This incident occurred within the context of an attempted coup.,"\"\"\"Oscar P�rez case repercussions: the operation was �State terrorism�","\"\" Merco Press",January 17,"2018.\"","\"\"\"Australia: Venezuela's Supreme Court attacked by 'stolen' police helicopter",President Nicolas M...,"\"\" ABC Online",June 28,"2017.\""
201707060021,2017,7,6,"",0,"",222,3,South America,Capital,Caracas,10.482834,-66.962128,1,0,"","07/06/2017: Assailants armed with pipes and firearms stormed the National Assembly Parliament building in Caracas, Venezuela. At least 322 people, including 94 opposition parliament members, 108 journalists, and 120 workers, were held hostage in the nine-hour long siege. At least 20 people were injured in the attack. No group claimed responsibility; however, sources attributed the incident to government supporters.",1,1,1,0,"","",0,1,0,5,Hostage Taking (Barricade Incident),"","","","",2,Government (General),21,Government Building/Facility/Office,National Assembly,Parliament Building,222,Venezuela,10,Journalists & Media,"","",Unknown,Journalists,222,Venezuela,"","","","","","","","",Government Supporters,"","","","","","The specific motive is unknown; however, sources noted that the assailants were shouting that they supported President Nicolas Maduro during the attack.",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,17,Other Explosive Type,5,Firearms,3,Handgun,9,Melee,21,Blunt Object,"","","","","Fireworks, pistols, pipes, sticks, and stones were used in the attack.",0,0,0,20,0,0,1,3,Minor (likely < $1 million),-99,A building was damaged and journalist equipment was seized in this attack.,1,322,0,9,"","","",0,"","","","","",2,Hostage(s) released by perpetrators,322,The victims included Agencia EFE journalist Cristian Hernandez and Members of Parliament (MP) Americo De Grazia and William Davila.,"\"\"\"Pro-Government Supporters� Attack on Parliament Worsens Venezuela�s Crisis","\"\" Latin American Herald Tribune",July 6,"2017.\"","\"\"\"Lawmakers Leave Venezuelan Parliament after Hours-Long Siege","\"\" Latin American Herald Tribune",July 6,"2017.\"","\"\"\"Venezuela regime backers attack opposition lawmakers"
201707100021,2017,7,10,"",0,"",222,3,South America,Aragua,Girardot district,10.401217,-67.594695,3,0,"","07/10/2017: Assailants opened fire on Jose Luis Rivas Aranguren in Girardot district, Aragua, Venezuela. Aranguren, a National Constituent Assembly candidate, was killed in the assault. No group claimed responsibility for the attack.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,Unknown,National Constituent Assembly Candidate: Jose Luis Rivas Aranguren,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Candidate killed as violence erupts in Venezuela vote","\"\" Millennium Post",July 30,"2017.\"","\"\"\"Candidate for the Venezuelan National Constituent Assembly Assassinated","\"\" TeleSURtv.net",July 10,"2017.\"",""
201707100023,2017,7,10,"",0,"",222,3,South America,Miranda,Caracas,10.456826,-66.782303,1,0,The incident occurred in the Altamira neighborhood.,"07/10/2017: An explosive device detonated near a Bolivarian National Guard of Venezuela patrol in Altamira neighborhood, Caracas, Venezuela. At least seven soldiers were injured in the blast. No group claimed responsibility for the attack.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,"","","","",4,Military,29,Military Unit/Patrol/Convoy,Bolivarian National Guard of Venezuela,Patrol,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",A roadside bomb was used in the attack.,0,0,0,7,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Seven Venezuelan soldiers wounded in blast","\"\" Xinhua General News Service",July 10,"2017.\"","\"\"\"Candidate for the Venezuelan National Constituent Assembly Assassinated","\"\" TeleSURtv.net",July 10,"2017.\"",""
201707290013,2017,7,30,"",0,"",222,3,South America,Bolivar,Ciudad Bolivar,8.088279,-63.553555,1,0,"","07/30/2017: Assailants shot and killed Jose Felix Pineda, a Constitutional Assembly candidate, in his home in Ciudad Bolivar, Bolivar, Venezuela. No group claimed responsibility for the attack, but sources believe he may have been targeted for his possible involvement in re-drafting the constitution.",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",14,Private Citizens & Property,84,Political Party Member/Rally,Unknown,Constituent Assembly Candidate: Jose Felix Pineda,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","The specific motive is unknown; however, sources noted that Jose Felix Pineda was likely to work on re-drafting the constitution.",0,"","",0,-99,0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",1,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Leader of the Opposition in Venezuela was Killed","\"\" Sofia News Agency",July 31,"2017.\"","\"\"\"Candidate killed as violence erupts in Venezuela vote","\"\" Millennium Post",July 30,"2017.\"","\"\"\"Candidate in Venezuela vote shot dead"
201707300017,2017,7,30,"",0,"",222,3,South America,Miranda,Caracas,10.456826,-66.782303,1,0,The incident occurred at the Altamira Square in the Chacao district.,"07/30/2017: An explosive device detonated targeting a police convoy at the Altamira Square in Caracas, Venezuela. At least four police officers were injured in the blast. No group claimed responsibility for the incident.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",3,Police,23,Police Patrol (including vehicles and convoys),Bolivarian National Police (PNB),Patrol,222,Venezuela,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,-99,0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,4,0,0,1,3,Minor (likely < $1 million),-99,Motorcycles were damaged in this attack.,0,"","","","","","","","","","","","","","","","Casualty numbers conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","\"\"\"VENEZUELA CRISIS - Venezuelan government calls attack on police terrorist act","\"\" EFE",July 31,"2017.\"","\"\"\"Leader of the Opposition in Venezuela was Killed","\"\" Sofia News Agency",July 31,"2017.\"","\"\"\"WATCH: Chaos in Venezuela"
