199105120009,1991,5,12,"",0,"",123,11,Sub-Saharan Africa,Mopti,Mopti,14.498063,-4.198136,1,1,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",2,Government (General),21,Government Building/Facility/Office,Govt,Government Bldg,123,Mali,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,1,"","",2,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200709120004,2007,9,12,"",0,"",123,11,Sub-Saharan Africa,Kidal,Tin Zaouatine,19.936789,2.916669,1,0,"","09/12/2007: Rebels led by Ibrahima Bahanga fired small arms at a U.S. Air Force c-130 Hercules transport.  The plane was carrying  food packages to Malian troops battling insurgents in Ti-n-Zaoutene, Algeria.  Minimal damage was reported and no group claimed responsibility.",1,1,1,0,"","",0,1,0,2,Armed Assault,"","","","",9,Food or Water Supply,51,Food Supply,Unknown,Unknown,999,Multinational,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","Terrorism, 2005-2007: A Chronology  (Westport, CT: Praeger Security International)","","",CETIS,-9,-9,1,1,""
199105200007,1991,5,20,"",0,"",123,11,Sub-Saharan Africa,Timbuktu,Goundam,16.416667,-3.666667,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",14,Private Citizens & Property,75,Village/City/Town/Suburb,Govt,Town of Goundam,123,Mali,"","","","","","","","","","","","","","","","",Tuareg extremists,Rebels,"","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,3,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200803200006,2008,3,20,"",0,"",123,11,Sub-Saharan Africa,Kidal,Adrar des Ifoghas,18.447574,1.408866,2,1,The incident occurred at Adrar des Ifoghas Mountains,03/20/2008:  Three soldiers were killed when their mine-clearing truck hit a landmine planted by suspected Tuareg rebels in the Adrar des Iforas region of Mali.,1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",4,Military,35,Military Transportation/Vehicle (excluding convoys),Malian Military,A mine-clearing truck,123,Mali,"","","","","","","","","","","","","","","","",Tuareg extremists,"","","","","",Unknown,1,"","",0,"",0,0,"","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","","",3,0,0,0,0,0,-9,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Mine blast kills five in northern Mali",� Agence France Presse,March 21,"2008.\"","","",CETIS,-9,-9
199111010004,1991,11,1,"",0,"",123,11,Sub-Saharan Africa,Gao,Gao,16.273971,-0.041066,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,73,Vehicles/Transportation,"",Vehicle,123,Mali,"","","","","","","","","","","","","","","","",Tuareg Guerrillas,Guerrillas,"","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,3,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200803210002,2008,3,21,"",0,"",123,11,Sub-Saharan Africa,Kidal,Tin Zaouatine,19.936789,2.916669,1,0,"",03/21/2008:  Five civilians including a child were killed after their vehicle ran over a landmine in Mali's northern desert.,1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,"",123,Mali,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,1,"","",0,"",0,0,"","","","","","","","","",6,Explosives,8,Landmine,"","","","","","","","","","","","","",5,0,0,0,0,0,-9,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Mine blast kills five in northern Mali",� Agence France Presse,March 21,"2008.\"","","",CETIS,-9,-9
199111090008,1991,11,9,"",0,"",123,11,Sub-Saharan Africa,Timbuktu,Goundam,16.416667,-3.666667,1,0,"","",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,"","","","",4,Military,29,Military Unit/Patrol/Convoy,Military,Unit,123,Mali,"","","","","","","","","","","","","","","","",Tuareg extremists,Rebels,"","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,11,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200803220010,2008,3,20,"",1,"",123,11,Sub-Saharan Africa,Kidal,Abeibara,19.107615,1.748384,1,1,Near the town of Abe�bara,"3/20/2008: Tuareg rebels ambushed a military convoy near the town of Abe�bara, Abe�bara cercle, Mali.  The assailants kidnapped at least 20 soldiers and stole several vehicles, including two armored personnel carriers.  The outcome of the kidnapping is unknown.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,6,Hostage Taking (Kidnapping),"","","","",4,Military,29,Military Unit/Patrol/Convoy,Mali military,A military convoy near Abeibara,123,Mali,"","","","","","","","","","","","","","","","",Tuareg extremists,"","","","","","Specific motive is unknown; however, the Tuareg rebels stole several vehicles.",0,"","",0,-99,0,0,"","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","",No specific mention of weapons was made,0,0,0,"",0,"",0,"","","","",1,20,0,-99,-99,"","",0,"","","","","",7,Unknown,-99,Sources do not mention is anyone was injured or killed.  The outcome of the kidnapping is unknown,"\"\"\"Tuareg rebels attack Mali convoy","\"\" BBC",March 22,"2008.\"","","",UMD Algeria 2010-2012,-9,-9
199111140007,1991,11,14,"",0,"",123,11,Sub-Saharan Africa,Gao,Ansongo,15.666816,0.508533,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",2,Government (General),21,Government Building/Facility/Office,Govt,Official Vehicle Convoy,123,Mali,"","","","","","","","","","","","","","","","",Tuareg extremists,"","","","","","",0,"","",0,"","","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,2,"","",7,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
200805060008,2008,5,6,"",0,"",123,11,Sub-Saharan Africa,Kidal,Aguelhoc,19.464848,0.856393,1,0,"The incident occurred at a Malian army position in the town of Aguel�hoc, Kidal, Mali.","05/06/2008: On Tuesday, Tuareg rebels attacked attacked a Malian army position in the town of Aguel�hoc, Kidal, Mali. Troops returned fire on the rebels, no casualties were reported on either side.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,2,Armed Assault,"","","","",4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Malian Army,A Malian army position,123,Mali,"","","","","","","","","","","","","","","","",Unknown,"","","","","",The specific motive for the attack is unknown.,0,"","",0,-99,0,0,"","","","","","","","","",5,Firearms,5,Unknown Gun Type,"","","","","","","","","","","","",Unknown firearms were used in the attack.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"World News Connection, \"\"Mali Sends in Army Reinforcements After Tuareg Attacks","\"\" Agence France Presse",May 6,"2008.\"","\"Lexis Nexis, \"\"Mali Sends in Army Reinforcements After Tuareg Attacks","\"\" Agence France Presse",May 6,"2008.\"",""
