197008190001,1970,8,19,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,6,Hostage Taking (Kidnapping),"","","","",2,Government (General),18,"Government Personnel (excluding police, military)",US Aid,"Stephen Spann, public safety officer",217,United States,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,5,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,1,1,"","","",Uruguay,1,0,"","","","",2,Hostage(s) released by perpetrators,1,"","","","",PGIS,0,1,1,1,""
197008210001,1970,8,21,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,5,Hostage Taking (Barricade Incident),"","","","",16,Telecommunication,88,Radio,"",Radio Rural,218,Uruguay,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,6,"","","","","","","","","","","",5,Firearms,3,Handgun,"","","","","","","","","","","","",Pistols,0,"","",0,"","",1,3,Minor (likely < $1 million),2500,"",1,-99,0,0,0,"","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197009000002,1970,9,0,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,11,Entertainment/Cultural/Stadium/Casino,"",Carrasco Bowling Club,218,Uruguay,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,4,"","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,2,"",2,0,"","",1,3,Minor (likely < $1 million),160000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197009040002,1970,9,4,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),18,"Government Personnel (excluding police, military)","",Home of Brother of Chancellor of Uruguay,218,Uruguay,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,4,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosives,0,"","",0,"","",1,3,Minor (likely < $1 million),15000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197009110003,1970,9,11,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,4,Multinational Corporation,"",Coca Cola Bottling Plant,217,United States,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,4,"","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosives,0,"","",0,"","",1,3,Minor (likely < $1 million),15000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
197009140001,1970,9,14,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,5,Industrial/Textiles/Factory,"",Sudamtex Textiles,217,United States,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,2,Major (likely >= $1 million but < $1 billion),5000000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
197009160001,1970,9,16,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,9,Farm/Ranch,"",International Harvester,217,United States,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","",8,Incendiary,19,Molotov Cocktail/Petrol Bomb,"","","","","","","","",Incendiary; Molotov cocktail,0,"","",0,"","",1,3,Minor (likely < $1 million),15000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
197009230002,1970,9,23,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,5,Industrial/Textiles/Factory,"",IPisa Paper Plant,218,Uruguay,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),6000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197009260001,1970,9,26,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,0,0,6,Hostage Taking (Kidnapping),"","","","",3,Police,25,Police Security Forces/Officers,Uruguayan police,"Alfredo Beccona, director of Investigations",218,Uruguay,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,4,"","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",0,"","",0,"","",0,"","","","",1,1,0,"","","",Uruguay,1,0,"","","","","","","","","","","",PGIS,0,0,0,0,""
197010080005,1970,10,8,"",0,"",218,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,"","",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,"","","",Domingo Basso Firm,218,Uruguay,"","","","","","","","","","","","","","","","",Tupamaros (Uruguay),"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,3,Minor (likely < $1 million),50000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
