199205130003,1992,5,13,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,1,Assassination,"","","","",1,Business,"","","",Taxi Driver,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,3,"","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",AK-47,1,"","",3,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199209020002,1992,9,1,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,0,"","",0,1,0,1,Assassination,"","","","",2,Government (General),17,Head of State,"",Former Prime Minister Piotr Jaroszewicz and his wife Alicja Solska,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",2,"","",0,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199209290009,1992,9,29,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,U.S. State Dept,"Vehicular Gate, U.S. Embassy",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,1,"","","","","","","","","","","",10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)","","","","","","","","","","","","","","",Vehicle,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199210010012,1992,10,1,"",0,"",161,9,Eastern Europe,"",Krakow,50.06373,19.9458,1,0,"","",1,1,1,-9,"","",0,1,0,1,Assassination,"","","","",1,Business,"","","",German truck driver and associates,75,Germany,"","","","","","","","","","","","","","","","",Polish Skinheads,"","","","","","",0,"","",0,"","","","","","","","","","","","",13,Unknown,"","","","","","","","","","","","","","","",1,"","",2,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,1,1,1,""
199211170011,1992,11,17,"",0,"",161,9,Eastern Europe,Poznan,Lubon,52.346166,16.877376,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,"",Cultural Center,161,Poland,"","","","","","","","","","","","","","","","",Neo-Nazi extremists,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199403160002,1994,3,16,"",0,"",161,9,Eastern Europe,Jelenia Gora,Zgorzelec,51.149636,15.006564,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",3,Police,23,Police Patrol (including vehicles and convoys),Border Guard,Vehicle,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199409010002,1994,9,1,"",0,"",161,9,Eastern Europe,Krakow,Krakow,50.06373,19.9458,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",19,Transportation,101,Bus Station/Stop,Transport,Main bus station,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199409030002,1994,9,3,"",0,"",161,9,Eastern Europe,Krakow,Krakow,50.06373,19.9458,1,0,"","",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,"","","","",2,Government (General),21,Government Building/Facility/Office,Govt,Post office,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199412120012,1994,12,12,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,3,Bank/Commerce,Unk,Foreign Currency Exchange,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Bomb,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199502200004,1995,2,20,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",20,Unknown,"","",unk,unk,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,15,Vehicle,"","","","","","","","","","","","",Car bomb,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199503240002,1995,3,24,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,76,House/Apartment/Residence,unk,Residence,"","","","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,-9,-9,""
199505220096,1995,5,22,"",0,"",161,9,Eastern Europe,Krakow,Krakow,50.06373,19.9458,1,0,"","",1,1,1,-9,"","",0,1,0,8,Unarmed Assault,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Gov't,Consulate,217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,1,"","","","","","","","","","","",9,Melee,21,Blunt Object,"","","","","","","","","","","","",Wrench,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
199506120011,1995,6,12,"",0,"",161,9,Eastern Europe,Szczecin,Miedzyzdroje,53.928228,14.450497,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,8,Hotel/Resort,unk,Merlin Hotel,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,15,Vehicle,"","","","","","","","","","","","",Car bomb,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199603020001,1996,3,2,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,"",Journalist,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,"","","","","","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199603290004,1996,3,29,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,7,Retail/Grocery/Bakery,"",car dealership,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199604240001,1996,4,24,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,4,Multinational Corporation,shell gas station,business/gas station,161,Poland,"","","","","","","","","","","","","","","","",GN-95,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,0,0,0,0,0,1,"","","","",0,"","","","","","",1,2000000,"","","","","","","","","","","",PGIS,1,1,0,1,""
199606040004,1996,6,4,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,2,Restaurant/Bar/Caf�,"",Jewish restaurant,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199610020002,1996,10,2,"",0,"",161,9,Eastern Europe,Skierniewice,Cieladz,51.714585,20.345143,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,5,Industrial/Textiles/Factory,"",factory,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199611210002,1996,11,21,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,74,Marketplace/Plaza/Square,"",Near open-air-market,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",7,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199702260004,1997,2,26,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",15,Religious Figures/Institutions,86,Place of Worship,"",Synagogue,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199705080001,1997,5,8,"",0,"",161,9,Eastern Europe,Legnica,Rudna,51.510167,16.265608,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)","",Veterans Gathering,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,"","",4,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199707210004,1997,7,21,"",0,"",161,9,Eastern Europe,Warsaw,Warsaw,52.229676,21.012229,1,0,"","",1,1,1,-9,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,68,Named Civilian,"",Artur G.,161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,1,"","",1,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,0,-9,""
199808110002,1998,8,11,"",0,"",161,9,Eastern Europe,Podlaskie (Region),Bialystok,53.132489,23.16884,1,0,"","08/11/1998: Two Molotov cocktails were thrown into the office of the Freedom Union (UW) board in Bialystok, Poland, by unknown perpetrators. The office was unoccupied at the time of the attack. No one was killed or injured in the incident.",1,1,1,0,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Freedom Union (UW) board,"Freedom Union (UW) board in Bialystok, Poland",161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",8,Incendiary,18,Arson/Fire,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","�Fire Bombs Thrown at Freedom Union Office in Bialystok,� Warsaw TV Polonia Network, August 11, 1998.","","",CETIS,-9,-9,0,-9,""
199808190005,1998,8,19,"",0,"",161,9,Eastern Europe,Pomeranian (Voivodeship),Gdansk,54.351993,18.646611,1,0,"","08/19/1998: Eleven cars, including one from the Port Taxi Company, were badly damaged after an explosion that occurred at a secure parking lot in Gdansk, Poland. No one was injured and there was no claim of responsibility in the incident. However, after the explosion, an anonymous telephone caller informed the company central telephone exchange that there may be further attacks on Port Taxi Company.",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",1,Business,"","",Port Taxi Company,"Port Taxi Company in Gdansk, Poland",161,Poland,"","","","","","","","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,"",0,0,"","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","","",0,0,0,0,0,0,1,3,Minor (likely < $1 million),"","",0,"","","","","","","","","","","","","","","","","�Poland: Bomb Damages Several Cars in Gdansk Parking Lot,� Warsaw PAP, August 19, 1998.","","",CETIS,-9,-9,0,-9,""
200108190016,2001,8,19,"",0,"",161,9,Eastern Europe,Masovian (Province),Koszelowka,52.437663,19.700397,1,0,"","08/19/2001: Several Roma couples were attacked at a resort by a group of 40 men in Koszelowka on Zdworz Lake in the Plock area, Masovian Province, Poland. The perpetrators caused significant property damage to the resort. Four Romanies were injured.",1,1,1,0,"","",0,1,0,8,Unarmed Assault,7,Facility/Infrastructure Attack,"","",18,Tourists,97,Tourist,Civilians,"Romanies in Koszelowka, Masovian Province, Poland",16,Azerbaijan,1,Business,8,Hotel/Resort,Polish Hotels,Borowik Holiday Center,"","","","","","","","","","",Unknown,"","","","","",Unknown,0,"","",0,40,3,0,"","","","","","","","","",9,Melee,21,Blunt Object,11,Sabotage Equipment,"","","","","","","","","","","",0,0,0,4,0,0,1,3,Minor (likely < $1 million),2371.83,"The assailants smashed up rooms and the lobby. They broke windows, destroyed furniture, and threatened to set the center on fire. They also damaged six cars.",0,"","","","","","","","","","","","","","","","","�Juveniles Assail Vacationing Romany Families,� Rzeczpospolita, August 21, 2001.","","",CETIS,-9,-9,1,1,""
