200608300002,2006,8,30,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,1,"","08/30/2006: Members of a prison-based gang, suspected to be First Capital Command (PCC), firebombed ATMs at two bank branches, and shot at an empty police car in Sao Paulo, Brazil in retaliation for the transfer of prisoners to another penitentiary.",1,1,1,0,"","",0,0,0,3,Bombing/Explosion,2,Armed Assault,"","",1,Business,3,Bank/Commerce,Unknown,ATM Machines,30,Brazil,3,Police,23,Police Patrol (including vehicles and convoys),Unknown,Empty police car,30,Brazil,"","","","","","","","",First Capital Command (PCC),"","","","","",Retaliation for moving members of the gang to a distant penitentiary.,1,"","",0,"",0,0,"","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,6,Explosives,16,Unknown Explosive Type,"","","","","","","","",The bombs were used on the ATM machines and the firearms were used on the police vehicle.,0,0,0,"",0,"",1,4,Unknown,"","",0,"","","","","","","","","","","","","","","","","�Gangsters Launch Mini-wave of Attacks in Sao Paulo,� ACAN-EFE, August 30, 2006.","","",CETIS,0,0,0,0,""
197111030002,1971,11,3,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,"","","","residence, offical chicago bridge co.",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,19,Molotov Cocktail/Petrol Bomb,"","","","","","","","","","","","",Molotov cocktails,0,"","",0,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197111030003,1971,11,3,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",1,Business,"","","","residence, official of swift B. co.",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,19,Molotov Cocktail/Petrol Bomb,"","","","","","","","","","","","",Molotov cocktails,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197111030004,1971,11,3,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","",1,1,1,-9,"","",0,1,0,2,Armed Assault,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)","",U.S. consul geurrals car,217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","",8,Incendiary,19,Molotov Cocktail/Petrol Bomb,"","","","","","","","",Incendiary; Molotov cocktail,0,"","",0,"","",1,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197202050001,1972,2,5,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,0,0,2,Armed Assault,"","","","",4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",U.K. Navy,Sailor on shore leave,216,Great Britain,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,4,"","","","","","","","","","","",5,Firearms,2,Automatic or Semi-Automatic Rifle,"","","","","","","","","","","","",Automatic firearm,0,"","",1,"","",0,"","","","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197209280008,1972,9,28,"",0,"",30,3,South America,Unknown,Unknown,"","",5,0,"","09/28/1972: A letter bomb addressed to the Rio de Janeiro Mission was discovered and defused in Brazil. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Rio de Janeiro Mission,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Letter bombs sent to Jews in Uruguay","\"\" The Jerusalem Post",September 29,"1972.\"","","",UMD Miscellaneous,1,1
197209280009,1972,9,28,"",0,"",30,3,South America,Unknown,Unknown,"","",5,0,"","09/28/1972: A letter bomb addressed to the Sao Paulo Mission was discovered and defused in Brazil. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,"","",1,0,0,1,Assassination,"","","","",7,Government (Diplomatic),46,Embassy/Consulate,Israeli Ministry of Foreign Affairs,Sao Paulo Mission,97,Israel,"","","","","","","","","","","","","","","","",Black September,"","","","","","",0,"","",0,-99,-99,1,5,Note left at scene,"","","","","","","",6,Explosives,9,Letter Bomb,"","","","","","","","","","","","",An explosives-laden letter was used.,0,0,0,0,0,0,0,"","","","",0,"","","","","","","","","","","","","","","","","\"\"\"Letter bombs sent to Jews in Uruguay","\"\" The Jerusalem Post",September 29,"1972.\"","","",UMD Miscellaneous,1,1
197305180001,1973,5,18,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","",1,1,1,-9,"","",0,1,0,7,Facility/Infrastructure Attack,"","","","",7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)","","residence, US Diplomat",217,United States,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",8,Incendiary,"","","","","","","","","","","","","","",Incendiary,0,"","",0,"","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197310010001,1973,10,1,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",6,Airports & Aircraft,43,Airline Officer/Personnel,"",LAN- Chile airline office,43,Chile,"","","","","","","","","","","","","","","","",Unknown,"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,0,"","",15,"","",1,3,Minor (likely < $1 million),15000,"",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,-9,-9,1,1,""
197608190001,1976,8,19,"",0,"",30,3,South America,Rio de Janeiro,Rio De Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,"",Brazilian Press Assosciation,30,Brazil,"","","","","","","","","","","","","","","","",Brazilian Anti-Communist Alliance (AAB),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,"","","","","","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197608190002,1976,8,19,"",0,"",30,3,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,82,Labor Union Related,"",Brazilian Bar Assosciation,30,Brazil,"","","","","","","","","","","","","","","","",Brazilian Anti-Communist Alliance (AAB),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,"","","","","","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
197609040001,1976,9,4,"",0,"",30,3,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,1,0,"","",1,1,1,0,"","",0,1,0,3,Bombing/Explosion,"","","","",14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,"",Center for Analysis and Planning,30,Brazil,"","","","","","","","","","","","","","","","",Brazilian Anti-Communist Alliance (AAB),"","","","","","",0,"","",0,"","","","","","","","","","","","",6,Explosives,16,Unknown Explosive Type,"","","","","","","","","","","","",Explosive,"","","","","","",1,4,Unknown,"","",0,"","","","","","",0,"","","","","","","","","","","","",PGIS,0,0,0,0,""
